Reporting Area,MMWR Year,MMWR Week,Salmonella Paratyphi infection Current week,Salmonella Paratyphi infection Previous 52 weeks,Salmonella Paratyphi infection 2021,Salmonella Paratyphi infection 2020,Salmonella Typhi infection Current week,Salmonella Typhi infection Previous 52 weeks,Salmonella Typhi infection 2021,Salmonella Typhi infection 2020,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) Current week,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) Previous 52 weeks,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) 2021,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) 2020,Location 1,Location 2,Reporting Area Sort,Geocode Latitude,Geocode Longitude
IOWA,2021,1,,2,,,,0,,,3,34,3,14,IOWA,,20210121,-93.500061,42.074659
KANSAS,2021,1,,0,,,,0,,,1,26,1,6,KANSAS,,20210122,-98.38018,38.484729
MINNESOTA,2021,1,,0,,,,0,,,,0,,,MINNESOTA,,20210123,-94.198308,46.349153
MISSOURI,2021,1,,0,,,,1,,,,36,,7,MISSOURI,,20210124,-92.477244,38.3675
NEBRASKA,2021,1,,1,,,,0,,,,15,,,NEBRASKA,,20210125,-99.810595,41.527099
NORTH DAKOTA,2021,1,,0,,,,0,,,,5,,6,NORTH DAKOTA,,20210126,-100.46931,47.446305
DISTRICT OF COLUMBIA,2021,1,,0,,,,0,,,,2,,,DISTRICT OF COLUMBIA,,20210130,-77.016275,38.904785
FLORIDA,2021,1,,1,,,,1,,,,366,,40,FLORIDA,,20210131,-82.420978,28.260731
GEORGIA,2021,1,,0,,,,0,,,7,184,7,25,GEORGIA,,20210132,-83.426574,32.638481
MARYLAND,2021,1,,1,,,,1,,,,37,,7,MARYLAND,,20210133,-76.687282,38.946466
NORTH CAROLINA,2021,1,,0,,,,2,,,,59,,24,NORTH CAROLINA,,20210134,-79.130883,35.52603
SOUTH CAROLINA,2021,1,,0,,,,1,,,9,85,9,13,SOUTH CAROLINA,,20210135,-80.864614,33.878572
EAST SOUTH CENTRAL,2021,1,,1,,,,1,,1,,93,,22,,EAST SOUTH CENTRAL,20210138,,
KENTUCKY,2021,1,,0,,,,0,,1,,51,,4,KENTUCKY,,20210140,-85.290484,37.526683
ARKANSAS,2021,1,,1,,,,1,,,6,22,6,1,ARKANSAS,,20210144,-92.439162,34.899825
LOUISIANA,2021,1,,0,,,,0,,,6,47,6,26,LOUISIANA,,20210145,-91.840238,30.921314
OKLAHOMA,2021,1,,0,,,,1,,,,41,,1,OKLAHOMA,,20210146,-97.508297,35.583449
TEXAS,2021,1,,1,,,,1,,,4,151,4,2,TEXAS,,20210147,-99.317341,31.447238
MOUNTAIN,2021,1,,2,,,,1,,,6,151,6,43,,MOUNTAIN,20210148,,
ARIZONA,2021,1,,1,,,,1,,,1,28,1,20,ARIZONA,,20210149,-111.664616,34.293239
COLORADO,2021,1,,1,,,,1,,,5,30,5,15,COLORADO,,20210150,-105.547832,38.998552
IDAHO,2021,1,,0,,,,0,,,,14,,2,IDAHO,,20210151,-114.659366,44.389073
MONTANA,2021,1,,0,,,,0,,,,27,,2,MONTANA,,20210152,-109.645127,47.033521
NEW MEXICO,2021,1,,0,,,,0,,,,15,,1,NEW MEXICO,,20210154,-106.108388,34.421369
UTAH,2021,1,,0,,,,0,,,,52,,3,UTAH,,20210155,-111.678222,39.323779
WYOMING,2021,1,,0,,,,0,,,,9,,,WYOMING,,20210156,-107.55145,42.999627
OREGON,2021,1,,0,,,,1,,,2,68,2,5,OREGON,,20210161,-120.605279,43.940449
WASHINGTON,2021,1,,1,,,,1,,2,3,69,3,14,WASHINGTON,,20210162,-120.592492,47.411715
AMERICAN SAMOA,2021,1,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20210164,,
GUAM,2021,1,,0,,,,0,,,,0,,,GUAM,,20210166,144.653198,13.3532
PUERTO RICO,2021,1,,0,,,,0,,,,8,,3,PUERTO RICO,,20210167,-66.414655,18.215692
U.S. VIRGIN ISLANDS,2021,1,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20210168,-64.840836,18.060868
US RESIDENTS,2021,1,,6,,1,,11,,6,80,1383,80,396,,US RESIDENTS,20210101,,
CONNECTICUT,2021,1,,1,,1,,1,,,,17,,8,CONNECTICUT,,20210103,-72.738288,41.575155
VERMONT,2021,1,,0,,,,0,,,1,8,1,,VERMONT,,20210108,-72.662695,44.075252
MIDDLE ATLANTIC,2021,1,,2,,,,5,,,8,128,8,44,,MIDDLE ATLANTIC,20210109,,
NEW JERSEY,2021,1,,0,,,,0,,,,8,,11,NEW JERSEY,,20210110,-74.655514,40.110253
MICHIGAN,2021,1,,0,,,,0,,,,0,,,MICHIGAN,,20210117,-85.730977,44.874798
WEST NORTH CENTRAL,2021,1,,2,,,,1,,,4,91,4,36,,WEST NORTH CENTRAL,20210120,,
SOUTH DAKOTA,2021,1,,0,,,,0,,,,2,,3,SOUTH DAKOTA,,20210127,-100.230491,44.43614
SOUTH ATLANTIC,2021,1,,1,,,,3,,,22,750,22,112,,SOUTH ATLANTIC,20210128,,
DELAWARE,2021,1,,0,,,,0,,,,10,,,DELAWARE,,20210129,-75.452394,38.994926
VIRGINIA,2021,1,,1,,,,2,,,6,51,6,1,VIRGINIA,,20210136,-78.666382,37.510861
ALABAMA,2021,1,,1,,,,1,,,,41,,15,ALABAMA,,20210139,-86.844516,32.756889
MISSISSIPPI,2021,1,,0,,,,0,,,,0,,,MISSISSIPPI,,20210141,-89.65344,32.713378
TENNESSEE,2021,1,,1,,,,1,,,,39,,3,TENNESSEE,,20210142,-86.343226,35.842998
WEST SOUTH CENTRAL,2021,1,,1,,,,1,,,16,221,16,30,,WEST SOUTH CENTRAL,20210143,,
NEVADA,2021,1,,2,,,,0,,,,3,,,NEVADA,,20210153,-114.916992,39.283294
PACIFIC,2021,1,,1,,,,3,,3,7,150,7,22,,PACIFIC,20210157,,
ALASKA,2021,1,,1,,,,0,,,,6,,,ALASKA,,20210158,-151.631889,63.631126
CALIFORNIA,2021,1,,0,,,,2,,1,2,49,2,3,CALIFORNIA,,20210159,-119.662127,37.211164
HAWAII,2021,1,,0,,,,0,,,,6,,,HAWAII,,20210160,-157.854309,21.361013
US TERRITORIES,2021,1,,0,,,,0,,,,8,,3,,US TERRITORIES,20210163,,
NORTHERN MARIANA ISLANDS,2021,1,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20210165,145.725693,15.1834
TOTAL,2021,2,,6,,1,,11,,6,95,1407,221,897,,TOTAL,20210270,,
US RESIDENTS,2021,2,,6,,1,,11,,6,95,1404,220,890,,US RESIDENTS,20210201,,
WEST VIRGINIA,2021,1,,0,,,,0,,,,14,,2,WEST VIRGINIA,,20210137,-80.613729,38.642579
NON-US RESIDENTS,2021,1,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20210169,,
TOTAL,2021,1,,6,,1,,11,,6,80,1384,80,399,,TOTAL,20210170,,
NEW HAMPSHIRE,2021,2,,0,,,,0,,,,9,1,3,NEW HAMPSHIRE,,20210206,-71.57139,43.680429
NEW YORK,2021,2,,2,,,,1,,,9,49,11,12,NEW YORK,,20210211,-75.59655,42.921241
PACIFIC,2021,2,,1,,,,3,,3,12,150,23,40,,PACIFIC,20210257,,
WEST SOUTH CENTRAL,2021,2,,1,,,,1,,,21,222,38,94,,WEST SOUTH CENTRAL,20210243,,
NEBRASKA,2021,2,,1,,,,0,,,,15,,4,NEBRASKA,,20210225,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,2,,1,,,,1,,1,2,93,7,53,,EAST SOUTH CENTRAL,20210238,,
NORTH DAKOTA,2021,2,,0,,,,0,,,,5,,6,NORTH DAKOTA,,20210226,-100.46931,47.446305
NEVADA,2021,2,,2,,,,0,,,,3,,1,NEVADA,,20210253,-114.916992,39.283294
ILLINOIS,2021,2,,2,,,,1,,,,67,,42,ILLINOIS,,20210215,-89.148632,40.124144
IOWA,2021,2,,2,,,,0,,,,34,3,19,IOWA,,20210221,-93.500061,42.074659
TEXAS,2021,2,,1,,,,1,,,3,152,7,18,TEXAS,,20210247,-99.317341,31.447238
ALASKA,2021,2,,1,,,,0,,,,6,,,ALASKA,,20210258,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,2,,0,,,,0,,,,2,,,DISTRICT OF COLUMBIA,,20210230,-77.016275,38.904785
WASHINGTON,2021,2,,1,,,,1,,2,,69,5,27,WASHINGTON,,20210262,-120.592492,47.411715
NEW ENGLAND,2021,2,,3,,1,,1,,1,6,62,22,54,,NEW ENGLAND,20210202,,
RHODE ISLAND,2021,2,,0,,,,0,,,,10,,3,RHODE ISLAND,,20210207,-71.534637,41.572574
OREGON,2021,2,,0,,,,1,,,1,68,4,7,OREGON,,20210261,-120.605279,43.940449
DELAWARE,2021,2,,0,,,,0,,,,10,,,DELAWARE,,20210229,-75.452394,38.994926
ALABAMA,2021,2,,1,,,,1,,,,41,,29,ALABAMA,,20210239,-86.844516,32.756889
KANSAS,2021,2,,0,,,,0,,,2,26,3,13,KANSAS,,20210222,-98.38018,38.484729
NORTH CAROLINA,2021,2,,0,,,,2,,,,60,,43,NORTH CAROLINA,,20210234,-79.130883,35.52603
GUAM,2021,2,,0,,,,0,,,,0,,,GUAM,,20210266,144.653198,13.3532
NEW JERSEY,2021,2,,0,,,,0,,,,8,,19,NEW JERSEY,,20210210,-74.655514,40.110253
NEW MEXICO,2021,2,,0,,,,0,,,,15,,6,NEW MEXICO,,20210254,-106.108388,34.421369
EAST NORTH CENTRAL,2021,2,,2,,,,1,,1,3,165,11,121,,EAST NORTH CENTRAL,20210214,,
TENNESSEE,2021,2,,1,,,,1,,,2,39,7,16,TENNESSEE,,20210242,-86.343226,35.842998
CONNECTICUT,2021,2,,1,,1,,1,,,,17,,14,CONNECTICUT,,20210203,-72.738288,41.575155
MARYLAND,2021,2,,1,,,,1,,,,37,,28,MARYLAND,,20210233,-76.687282,38.946466
SOUTH CAROLINA,2021,2,,0,,,,1,,,,85,10,27,SOUTH CAROLINA,,20210235,-80.864614,33.878572
OKLAHOMA,2021,2,,0,,,,1,,,9,41,9,8,OKLAHOMA,,20210246,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,2,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20210265,145.725693,15.1834
OHIO,2021,2,,0,,,,1,,,,48,,28,OHIO,,20210218,-82.70936,40.415534
MINNESOTA,2021,2,,0,,,,0,,,,0,,,MINNESOTA,,20210223,-94.198308,46.349153
LOUISIANA,2021,2,,0,,,,0,,,4,47,11,61,LOUISIANA,,20210245,-91.840238,30.921314
HAWAII,2021,2,,0,,,,0,,,,6,,1,HAWAII,,20210260,-157.854309,21.361013
SOUTH ATLANTIC,2021,2,,1,,,,3,,,10,771,42,286,,SOUTH ATLANTIC,20210228,,
PENNSYLVANIA,2021,2,,1,,,,2,,,3,49,9,29,PENNSYLVANIA,,20210213,-77.838886,40.896694
UTAH,2021,2,,0,,,,0,,,3,52,3,11,UTAH,,20210255,-111.678222,39.323779
COLORADO,2021,2,,1,,,,1,,,3,30,8,27,COLORADO,,20210250,-105.547832,38.998552
VERMONT,2021,2,,0,,,,0,,,,8,1,,VERMONT,,20210208,-72.662695,44.075252
KENTUCKY,2021,2,,0,,,,0,,1,,51,,8,KENTUCKY,,20210240,-85.290484,37.526683
PUERTO RICO,2021,2,,0,,,,0,,,,11,1,7,PUERTO RICO,,20210267,-66.414655,18.215692
MAINE,2021,2,,0,,,,0,,,,10,1,1,MAINE,,20210204,-69.06137,45.117911
VIRGINIA,2021,2,,1,,,,2,,,4,51,13,10,VIRGINIA,,20210236,-78.666382,37.510861
ARIZONA,2021,2,,1,,,,1,,,9,28,19,26,ARIZONA,,20210249,-111.664616,34.293239
AMERICAN SAMOA,2021,2,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20210264,,
WISCONSIN,2021,2,,1,,,,1,,,3,33,10,25,WISCONSIN,,20210219,-89.732969,44.639954
IDAHO,2021,2,,0,,,,0,,,,14,,5,IDAHO,,20210251,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,2,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20210268,-64.840836,18.060868
MICHIGAN,2021,2,,0,,,,0,,,,0,,,MICHIGAN,,20210217,-85.730977,44.874798
GEORGIA,2021,2,,0,,,,0,,,6,185,19,46,GEORGIA,,20210232,-83.426574,32.638481
NEW YORK CITY,2021,2,,1,,,,3,,,11,43,19,39,,NEW YORK CITY,20210212,,
ARKANSAS,2021,2,,1,,,,1,,,5,22,11,7,ARKANSAS,,20210244,-92.439162,34.899825
MISSISSIPPI,2021,2,,0,,,,0,,,,0,,,MISSISSIPPI,,20210241,-89.65344,32.713378
SOUTH DAKOTA,2021,2,,0,,,,0,,,,2,,5,SOUTH DAKOTA,,20210227,-100.230491,44.43614
WYOMING,2021,2,,0,,,,0,,,1,9,2,,WYOMING,,20210256,-107.55145,42.999627
MISSOURI,2021,2,,0,,,,1,,,,36,,15,MISSOURI,,20210224,-92.477244,38.3675
MIDDLE ATLANTIC,2021,2,,2,,,,5,,,23,128,39,99,,MIDDLE ATLANTIC,20210209,,
CALIFORNIA,2021,2,,0,,,,2,,1,11,49,14,5,CALIFORNIA,,20210259,-119.662127,37.211164
WEST VIRGINIA,2021,2,,0,,,,0,,,,14,,3,WEST VIRGINIA,,20210237,-80.613729,38.642579
FLORIDA,2021,2,,1,,,,1,,,,386,,129,FLORIDA,,20210231,-82.420978,28.260731
MONTANA,2021,2,,0,,,,0,,,,27,,5,MONTANA,,20210252,-109.645127,47.033521
WEST NORTH CENTRAL,2021,2,,2,,,,1,,,2,91,6,62,,WEST NORTH CENTRAL,20210220,,
MASSACHUSETTS,2021,2,,2,,,,1,,1,6,30,19,33,MASSACHUSETTS,,20210205,-71.481104,42.151077
MOUNTAIN,2021,2,,2,,,,1,,,16,150,32,81,,MOUNTAIN,20210248,,
INDIANA,2021,2,,0,,,,0,,1,,27,1,26,INDIANA,,20210216,-86.2818,39.919991
NON-US RESIDENTS,2021,2,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20210269,,
US TERRITORIES,2021,2,,0,,,,0,,,,11,1,7,,US TERRITORIES,20210263,,
TOTAL,2021,3,,6,,4,,7,1,17,83,1408,359,1347,,TOTAL,20210370,,
US RESIDENTS,2021,3,,6,,4,,7,1,17,83,1405,357,1336,,US RESIDENTS,20210301,,
NEW HAMPSHIRE,2021,3,,0,,,,0,,,,9,1,4,NEW HAMPSHIRE,,20210306,-71.57139,43.680429
NEW YORK,2021,3,,2,,,,1,,,3,49,11,13,NEW YORK,,20210311,-75.59655,42.921241
PACIFIC,2021,3,,1,,,,3,,6,14,150,49,58,,PACIFIC,20210357,,
WEST SOUTH CENTRAL,2021,3,,1,,,,1,,1,11,223,51,140,,WEST SOUTH CENTRAL,20210343,,
NEBRASKA,2021,3,,1,,,,0,,,,15,2,12,NEBRASKA,,20210325,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,3,,1,,1,,1,,1,1,93,14,82,,EAST SOUTH CENTRAL,20210338,,
NORTH DAKOTA,2021,3,,0,,,,0,,,,5,,8,NORTH DAKOTA,,20210326,-100.46931,47.446305
NEVADA,2021,3,,2,,,,0,,,,3,,3,NEVADA,,20210353,-114.916992,39.283294
ILLINOIS,2021,3,,2,,1,,1,,,,71,,70,ILLINOIS,,20210315,-89.148632,40.124144
IOWA,2021,3,,2,,,,0,,,2,34,7,24,IOWA,,20210321,-93.500061,42.074659
TEXAS,2021,3,,1,,,,1,,1,6,152,15,43,TEXAS,,20210347,-99.317341,31.447238
ALASKA,2021,3,,1,,,,0,,,,6,,,ALASKA,,20210358,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,3,,0,,,,0,,,,2,,1,DISTRICT OF COLUMBIA,,20210330,-77.016275,38.904785
WASHINGTON,2021,3,,1,,,,1,,2,4,69,10,38,WASHINGTON,,20210362,-120.592492,47.411715
NEW ENGLAND,2021,3,,3,,2,,1,,2,5,61,27,74,,NEW ENGLAND,20210302,,
RHODE ISLAND,2021,3,,0,,,,0,,,,10,,4,RHODE ISLAND,,20210307,-71.534637,41.572574
OREGON,2021,3,,0,,,,0,,1,5,67,12,11,OREGON,,20210361,-120.605279,43.940449
DELAWARE,2021,3,,0,,,,0,,,,10,,,DELAWARE,,20210329,-75.452394,38.994926
ALABAMA,2021,3,,1,,1,,1,,,,43,1,40,ALABAMA,,20210339,-86.844516,32.756889
KANSAS,2021,3,,0,,,,0,,,,26,3,16,KANSAS,,20210322,-98.38018,38.484729
NORTH CAROLINA,2021,3,,0,,,,2,,,,60,,71,NORTH CAROLINA,,20210334,-79.130883,35.52603
GUAM,2021,3,,0,,,,0,,,,0,,,GUAM,,20210366,144.653198,13.3532
NEW JERSEY,2021,3,,0,,,,0,,,,8,,26,NEW JERSEY,,20210310,-74.655514,40.110253
NEW MEXICO,2021,3,,0,,,,0,,,,15,,10,NEW MEXICO,,20210354,-106.108388,34.421369
EAST NORTH CENTRAL,2021,3,,2,,1,,1,,1,10,169,44,186,,EAST NORTH CENTRAL,20210314,,
TENNESSEE,2021,3,,1,,,,1,,,1,39,11,25,TENNESSEE,,20210342,-86.343226,35.842998
CONNECTICUT,2021,3,,1,,2,,1,,,,17,,17,CONNECTICUT,,20210303,-72.738288,41.575155
MARYLAND,2021,3,,1,,,,1,,,,37,,41,MARYLAND,,20210333,-76.687282,38.946466
SOUTH CAROLINA,2021,3,,0,,,,1,,,4,85,16,36,SOUTH CAROLINA,,20210335,-80.864614,33.878572
OKLAHOMA,2021,3,,0,,,,1,,,,41,9,16,OKLAHOMA,,20210346,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,3,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20210365,145.725693,15.1834
OHIO,2021,3,,0,,,,1,,,10,48,37,50,OHIO,,20210318,-82.70936,40.415534
MINNESOTA,2021,3,,0,,,,0,,,,0,,,MINNESOTA,,20210323,-94.198308,46.349153
LOUISIANA,2021,3,,0,,,,0,,,,47,11,70,LOUISIANA,,20210345,-91.840238,30.921314
HAWAII,2021,3,,0,,,,0,,,,6,3,4,HAWAII,,20210360,-157.854309,21.361013
SOUTH ATLANTIC,2021,3,,1,,,,3,,,10,774,56,452,,SOUTH ATLANTIC,20210328,,
PENNSYLVANIA,2021,3,,1,,,,2,,2,2,49,15,48,PENNSYLVANIA,,20210313,-77.838886,40.896694
UTAH,2021,3,,0,,,,0,,,,52,3,16,UTAH,,20210355,-111.678222,39.323779
COLORADO,2021,3,,1,,,,1,,,6,30,15,32,COLORADO,,20210350,-105.547832,38.998552
VERMONT,2021,3,,0,,,,0,,,,8,1,2,VERMONT,,20210308,-72.662695,44.075252
KENTUCKY,2021,3,,0,,,,0,,1,,51,2,17,KENTUCKY,,20210340,-85.290484,37.526683
PUERTO RICO,2021,3,,0,,,,0,,,,11,2,11,PUERTO RICO,,20210367,-66.414655,18.215692
MAINE,2021,3,,0,,,,0,,,,10,1,2,MAINE,,20210304,-69.06137,45.117911
VIRGINIA,2021,3,,1,,,,2,,,5,51,19,21,VIRGINIA,,20210336,-78.666382,37.510861
ARIZONA,2021,3,,1,,,,1,,1,8,28,31,30,ARIZONA,,20210349,-111.664616,34.293239
AMERICAN SAMOA,2021,3,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20210364,,
WISCONSIN,2021,3,,1,,,,1,,,,33,6,35,WISCONSIN,,20210319,-89.732969,44.639954
IDAHO,2021,3,,0,,,,0,,,,14,,12,IDAHO,,20210351,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,3,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20210368,-64.840836,18.060868
MICHIGAN,2021,3,,0,,,,0,,,,0,,,MICHIGAN,,20210317,-85.730977,44.874798
GEORGIA,2021,3,,0,,,,0,,,1,185,21,74,GEORGIA,,20210332,-83.426574,32.638481
NEW YORK CITY,2021,3,,1,,,,2,1,3,10,42,26,55,,NEW YORK CITY,20210312,,
ARKANSAS,2021,3,,1,,,,1,,,5,22,16,11,ARKANSAS,,20210344,-92.439162,34.899825
MISSISSIPPI,2021,3,,0,,,,0,,,,0,,,MISSISSIPPI,,20210341,-89.65344,32.713378
SOUTH DAKOTA,2021,3,,0,,,,0,,,,2,,7,SOUTH DAKOTA,,20210327,-100.230491,44.43614
WYOMING,2021,3,,0,,,,0,,,1,9,3,,WYOMING,,20210356,-107.55145,42.999627
MISSOURI,2021,3,,0,,,,1,,,,36,,26,MISSOURI,,20210324,-92.477244,38.3675
MIDDLE ATLANTIC,2021,3,,2,,,,3,1,5,15,128,52,142,,MIDDLE ATLANTIC,20210309,,
CALIFORNIA,2021,3,,0,,,,2,,3,5,53,24,5,CALIFORNIA,,20210359,-119.662127,37.211164
WEST VIRGINIA,2021,3,,0,,,,0,,,,14,,4,WEST VIRGINIA,,20210337,-80.613729,38.642579
FLORIDA,2021,3,,1,,,,1,,,,388,,204,FLORIDA,,20210331,-82.420978,28.260731
MONTANA,2021,3,,0,,,,0,,,,27,,6,MONTANA,,20210352,-109.645127,47.033521
WEST NORTH CENTRAL,2021,3,,2,,,,1,,,2,91,12,93,,WEST NORTH CENTRAL,20210320,,
MASSACHUSETTS,2021,3,,2,,,,1,,2,5,30,24,45,MASSACHUSETTS,,20210305,-71.481104,42.151077
MOUNTAIN,2021,3,,2,,,,1,,1,15,150,52,109,,MOUNTAIN,20210348,,
INDIANA,2021,3,,0,,,,0,,1,,27,1,31,INDIANA,,20210316,-86.2818,39.919991
NON-US RESIDENTS,2021,3,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20210369,,
US TERRITORIES,2021,3,,0,,,,0,,,,11,2,11,,US TERRITORIES,20210363,,
TOTAL,2021,10,,3,2,29,2,6,10,62,113,1453,2061,4561,,TOTAL,20211070,,
US RESIDENTS,2021,10,,3,2,29,2,6,10,62,113,1450,2059,4536,,US RESIDENTS,20211001,,
NEW HAMPSHIRE,2021,10,,0,,,,0,,,,9,11,17,NEW HAMPSHIRE,,20211006,-71.57139,43.680429
NEW YORK,2021,10,,2,,1,1,2,3,1,17,49,92,146,NEW YORK,,20211011,-75.59655,42.921241
PACIFIC,2021,10,,1,2,1,1,2,2,15,18,158,270,203,,PACIFIC,20211057,,
WEST SOUTH CENTRAL,2021,10,,1,,1,,1,,4,12,223,228,545,,WEST SOUTH CENTRAL,20211043,,
NEBRASKA,2021,10,,1,,,,0,,,1,16,27,28,NEBRASKA,,20211025,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,10,,1,,1,,1,,2,1,93,130,238,,EAST SOUTH CENTRAL,20211038,,
NORTH DAKOTA,2021,10,,0,,,,0,,,,5,4,11,NORTH DAKOTA,,20211026,-100.46931,47.446305
NEVADA,2021,10,,0,,2,,0,,,1,3,7,11,NEVADA,,20211053,-114.916992,39.283294
ILLINOIS,2021,10,,2,,4,,1,,2,,71,68,202,ILLINOIS,,20211015,-89.148632,40.124144
IOWA,2021,10,,2,,1,,0,,,1,34,36,77,IOWA,,20211021,-93.500061,42.074659
TEXAS,2021,10,,1,,1,,1,,2,2,152,99,290,TEXAS,,20211047,-99.317341,31.447238
ALASKA,2021,10,,1,,,,0,,,,6,,,ALASKA,,20211058,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,10,,0,,,,0,,,,2,,3,DISTRICT OF COLUMBIA,,20211030,-77.016275,38.904785
WASHINGTON,2021,10,,1,1,1,,1,,7,7,69,61,95,WASHINGTON,,20211062,-120.592492,47.411715
NEW ENGLAND,2021,10,,1,,5,,1,1,3,5,62,122,219,,NEW ENGLAND,20211002,,
RHODE ISLAND,2021,10,,0,,,,0,,,,10,,13,RHODE ISLAND,,20211007,-71.534637,41.572574
OREGON,2021,10,,0,,,,0,,1,3,68,37,37,OREGON,,20211061,-120.605279,43.940449
DELAWARE,2021,10,,0,,,,1,1,,,10,9,,DELAWARE,,20211029,-75.452394,38.994926
ALABAMA,2021,10,,1,,1,,1,,,1,44,46,96,ALABAMA,,20211039,-86.844516,32.756889
KANSAS,2021,10,,0,,,,0,,,2,26,38,58,KANSAS,,20211022,-98.38018,38.484729
NORTH CAROLINA,2021,10,,0,,,,1,,3,,68,34,186,NORTH CAROLINA,,20211034,-79.130883,35.52603
GUAM,2021,10,,0,,,,0,,,,0,,,GUAM,,20211066,144.653198,13.3532
NEW JERSEY,2021,10,,0,,,,1,,5,,1,,41,NEW JERSEY,,20211010,-74.655514,40.110253
NEW MEXICO,2021,10,,0,,,,0,,,,15,,41,NEW MEXICO,,20211054,-106.108388,34.421369
EAST NORTH CENTRAL,2021,10,,2,,8,,2,,4,10,217,283,674,,EAST NORTH CENTRAL,20211014,,
TENNESSEE,2021,10,,1,,,,0,,1,,41,59,91,TENNESSEE,,20211042,-86.343226,35.842998
CONNECTICUT,2021,10,,0,,3,,1,,,,17,,61,CONNECTICUT,,20211003,-72.738288,41.575155
MARYLAND,2021,10,,1,,,,1,,1,,37,,94,MARYLAND,,20211033,-76.687282,38.946466
SOUTH CAROLINA,2021,10,,0,,,,0,,2,6,85,86,103,SOUTH CAROLINA,,20211035,-80.864614,33.878572
OKLAHOMA,2021,10,,0,,,,0,,2,1,41,49,77,OKLAHOMA,,20211046,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,10,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20211065,145.725693,15.1834
OHIO,2021,10,,0,,,,1,,1,,48,96,128,OHIO,,20211018,-82.70936,40.415534
